Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;7.77640948;0.00777640948;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3184552613351284, 48.82491672041703], [2.3185106294669913, 48.82497634106995]], ""type"": ""LineString""}";48.82494653074348, 2.31848294540106
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;23.88067832;0.02388067832;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.319731725147326, 48.82624586282387], [2.319902167540808, 48.82642878733896]], ""type"": ""LineString""}";48.82633732508141, 2.319816946344067
Bandes cyclables;;;CONTRESENS;Rue Gozlin;6;Non;53.31907967;0.05331907967;;;;;;;2020-12-31;"{""coordinates"": [[2.333380261126759, 48.853454057094304], [2.334089084898779, 48.853348544355185]], ""type"": ""LineString""}";48.85340130072474, 2.333734673012769
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Huysmans;6;Non;109.88237705;0.10988237705000001;;;;;;;2021-12-31;"{""coordinates"": [[2.3299067924332864, 48.846259079152894], [2.328919183842595, 48.84573432197409], [2.328740863548277, 48.845639090898366]], ""type"": ""LineString""}";48.84594924415424, 2.329323743224174
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de l'Eure;14;Non;129.34584072;0.12934584072000002;;;;;;;2020-12-31;"{""coordinates"": [[2.322445225161487, 48.8323774389348], [2.3209358013717685, 48.832977579853825]], ""type"": ""LineString""}";48.832677509394316, 2.3216905132666277
Bandes cyclables;Non;ZONE 30;CONTRESENS;Place de Brazzaville;15;Non;62.59511215;0.06259511214999999;;;;;;;2020-12-31;"{""coordinates"": [[2.2867862664571006, 48.850817512238685], [2.2868191197191403, 48.8507882017938], [2.286841142992842, 48.850759778312835], [2.2868532981171126, 48.85071463891956], [2.2868493949451736, 48.85068368118735], [2.2868312138821976, 48.850642167973014], [2.286789184378184, 48.850604320497304], [2.2867376182755086, 48.85057831382024], [2.2866543368037293, 48.85055116650847], [2.2865738308086, 48.850532125453064], [2.2865003523153313, 48.85052645210548], [2.286436831652534, 48.850530832716636], [2.2863273541088076, 48.8505543006544]], ""type"": ""LineString""}";48.850605777755675, 2.286655595125602
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue de Javel;15;Non;152.42822175;0.15242822175;;;;;;;2020-12-31;"{""coordinates"": [[2.279145770138012, 48.847198618355165], [2.2792537476015107, 48.84714293980851], [2.279431223312166, 48.84708451939145], [2.27995426339053, 48.84680568841041], [2.280679023183166, 48.84640908914141], [2.2807154528854685, 48.846381943147605], [2.280726924341981, 48.84633442033944]], ""type"": ""LineString""}";48.84679481913185, 2.279959566268672
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Babylone;7;Non;87.10311291;0.08710311290999999;;;;;;;2020-12-31;"{""coordinates"": [[2.3235957574360033, 48.85167782154408], [2.324752449090283, 48.85169958648749], [2.324779598562345, 48.85169141165052]], ""type"": ""LineString""}";48.85168886656685, 2.324188263169889
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Stanislas;6;Non;191.07642149;0.19107642149;;;;;;;2020-12-31;"{""coordinates"": [[2.328774048928909, 48.84426080032691], [2.3271836710873997, 48.84290026982159]], ""type"": ""LineString""}";48.84358053507425, 2.3279788600081543
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de Châtillon;14;Non;276.89988231;0.27689988231;;;;;;;2020-12-31;"{""coordinates"": [[2.321492928403171, 48.8280078104678], [2.321570963700081, 48.827993498891516], [2.323621996976544, 48.82747160862128], [2.3240089767942034, 48.827368142292464], [2.3241211641310344, 48.827332606118], [2.3250007614260597, 48.82709437873453]], ""type"": ""LineString""}";48.82756098870867, 2.323249363554601
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue de Grenelle;6;Non;70.05011551;0.07005011551;;;;;;;2020-12-31;"{""coordinates"": [[2.3293581134944654, 48.852723594516846], [2.329525241253225, 48.85261104943495], [2.3299584958870962, 48.85228747761445], [2.329964424658665, 48.85224705864617]], ""type"": ""LineString""}";48.8524958760298, 2.329676084510872
Bandes cyclables;;ZONE 30;CONTRESENS;Rue Frédéric Brnet;17;Non;5.27705992;0.00527705992;;;;;Passage piéton;;2020-12-31;"{""coordinates"": [[2.3256623259853537, 48.89843099867718], [2.325612969978033, 48.898396456685106]], ""type"": ""LineString""}";48.898413727681145, 2.325637647981693
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Docteur Potain;19;Non;303.61318333;0.30361318333000004;;;;;;;2020-12-31;"{""coordinates"": [[2.3978824027951147, 48.878228493251825], [2.3978797919417847, 48.87812834517565], [2.397905122042576, 48.876436660630596], [2.397928233477123, 48.875498307565316]], ""type"": ""LineString""}";48.87686335253295, 2.39790036578527
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue du Docteur Bourneville;13;Non;132.80188749;0.13280188749000002;;;;;;;2021-12-31;"{""coordinates"": [[2.3590371843509543, 48.818087122354385], [2.3589782621334185, 48.818131543516486], [2.3580715579227234, 48.81884056485798], [2.358056096918164, 48.81886713321014], [2.3580088614757435, 48.81901584406998], [2.3580244115602538, 48.81904067492247]], ""type"": ""LineString""}";48.81853495199532, 2.3584761388648148
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Théâtre;15;Non;339.52802561;0.33952802561;;;;;;;2020-12-31;"{""coordinates"": [[2.2862329866573337, 48.849596307439725], [2.2865193395508516, 48.849486175975905], [2.2879488857429653, 48.848938348800615], [2.2902349057716807, 48.84806397589449]], ""type"": ""LineString""}";48.84882966912877, 2.2882337651328286
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Montparnasse;6;Non;189.1422;0.1891422;;;;;;;2020-12-31;"{""coordinates"": [[2.327182372792909, 48.84397820895418], [2.327217732227172, 48.84403194783568], [2.327981295870212, 48.844928578761944], [2.3283913925579762, 48.845418693311956], [2.3284460773641564, 48.845458829455886]], ""type"": ""LineString""}";48.84472529866941, 2.327807265612879
