description,start_date,end_date
Vacances de Printemps,2021-04-10 00:00:00,2021-04-26 00:00:00
Vacances de Noël,2020-12-19 00:00:00,2021-01-04 00:00:00
Vacances d'Été,2021-07-06 00:00:00,2021-09-02 00:00:00
Pont de l'Ascension,2022-05-26 00:00:00,2022-05-28 00:00:00
Vacances de la Toussaint,2020-10-17 00:00:00,2020-11-02 00:00:00
Vacances d'Hiver,2021-02-13 00:00:00,2021-03-01 00:00:00
Vacances de la Toussaint,2021-10-23 00:00:00,2021-11-08 00:00:00
Vacances d'Hiver,2022-02-19 00:00:00,2022-03-07 00:00:00
Pont de l'Ascension,2021-05-13 00:00:00,2021-05-17 00:00:00
Vacances de Noël,2021-12-18 00:00:00,2022-01-03 00:00:00
Vacances de Printemps,2022-04-23 00:00:00,2022-05-09 00:00:00
Vacances d'Été,2022-07-07 00:00:00,2022-09-01 00:00:00
